Scene,Participant,variable,value
3D Ghost,P08,Disorientation,27.84
3D Ghost,P09,Disorientation,41.76
3D Ghost,P10,Disorientation,27.84
3D Ghost,P11,Disorientation,27.84
3D Ghost,P12,Disorientation,0.0
2D Label,P01,sum4,2.0
2D Label,P02,sum4,3.0
2D Label,P03,sum4,0.0
2D Label,P04,sum4,5.0
2D Label,P05,sum4,1.0
2D Label,P06,sum4,6.0
2D Label,P07,sum4,4.0
2D Label,P08,sum4,9.0
2D Label,P10,sum4,7.0
2D Label,P11,sum4,10.0
2D Label,P12,sum4,0.0
3D Ghost,P02,sum4,1.0
3D Ghost,P03,sum4,2.0
3D Ghost,P04,sum4,0.0
3D Ghost,P05,sum4,8.0
3D Ghost,P06,sum4,2.0
3D Ghost,P07,sum4,2.0
3D Ghost,P08,sum4,3.0
3D Ghost,P09,sum4,4.0
3D Ghost,P10,sum4,2.0
3D Ghost,P11,sum4,3.0
3D Ghost,P12,sum4,0.0
2D Label,P01,Sum5,0.041666667
2D Label,P02,Sum5,0.0625
2D Label,P03,Sum5,0.0
2D Label,P04,Sum5,0.104166667
2D Label,P05,Sum5,0.020833333
2D Label,P06,Sum5,0.125
2D Label,P07,Sum5,0.083333333
2D Label,P08,Sum5,0.1875
2D Label,P10,Sum5,0.145833333
2D Label,P11,Sum5,0.208333333
2D Label,P12,Sum5,0.0
3D Ghost,P02,Sum5,0.020833333
